x : f(x) : interpolation : error
-0.810198 : 0.551686 : 0.551526 : 0.00016018
-0.809198 : 0.550517 : 0.550352 : 0.000164536
-0.808198 : 0.549348 : 0.549179 : 0.000168795
-0.807198 : 0.548179 : 0.548006 : 0.000172958
-0.806198 : 0.547012 : 0.546835 : 0.000177025
-0.805198 : 0.545845 : 0.545664 : 0.000180997
-0.804198 : 0.544679 : 0.544494 : 0.000184874
-0.803198 : 0.543514 : 0.543325 : 0.000188657
-0.802198 : 0.542349 : 0.542157 : 0.000192347
-0.801198 : 0.541185 : 0.54099 : 0.000195944
-0.800198 : 0.540022 : 0.539823 : 0.000199448
-0.799198 : 0.53886 : 0.538657 : 0.00020286
-0.798198 : 0.537699 : 0.537492 : 0.000206181
-0.797198 : 0.536538 : 0.536328 : 0.000209412
-0.796198 : 0.535378 : 0.535165 : 0.000212552
-0.795198 : 0.534218 : 0.534003 : 0.000215602
-0.794198 : 0.53306 : 0.532841 : 0.000218564
-0.793198 : 0.531902 : 0.53168 : 0.000221437
-0.792198 : 0.530745 : 0.530521 : 0.000224222
-0.791198 : 0.529588 : 0.529362 : 0.00022692
-0.790198 : 0.528433 : 0.528203 : 0.000229531
-0.789198 : 0.527278 : 0.527046 : 0.000232056
-0.788198 : 0.526124 : 0.52589 : 0.000234495
-0.787198 : 0.524971 : 0.524734 : 0.00023685
-0.786198 : 0.523818 : 0.523579 : 0.00023912
-0.785198 : 0.522666 : 0.522425 : 0.000241306
-0.784198 : 0.521515 : 0.521272 : 0.00024341
-0.783198 : 0.520365 : 0.52012 : 0.00024543
-0.782198 : 0.519216 : 0.518968 : 0.000247369
-0.781198 : 0.518067 : 0.517818 : 0.000249226
-0.780198 : 0.516919 : 0.516668 : 0.000251003
-0.779198 : 0.515772 : 0.515519 : 0.000252699
-0.778198 : 0.514626 : 0.514371 : 0.000254316
-0.777198 : 0.51348 : 0.513224 : 0.000255854
-0.776198 : 0.512335 : 0.512078 : 0.000257313
-0.775198 : 0.511191 : 0.510933 : 0.000258695
-0.774198 : 0.510048 : 0.509788 : 0.00026
-0.773198 : 0.508905 : 0.508644 : 0.000261228
-0.772198 : 0.507764 : 0.507501 : 0.00026238
-0.771198 : 0.506623 : 0.506359 : 0.000263458
-0.770198 : 0.505483 : 0.505218 : 0.00026446
-0.769198 : 0.504343 : 0.504078 : 0.000265389
-0.768198 : 0.503205 : 0.502939 : 0.000266245
-0.767198 : 0.502067 : 0.5018 : 0.000267027
-0.766198 : 0.50093 : 0.500662 : 0.000267738
-0.765198 : 0.499794 : 0.499526 : 0.000268378
-0.764198 : 0.498659 : 0.49839 : 0.000268946
-0.763198 : 0.497524 : 0.497255 : 0.000269445
-0.762198 : 0.49639 : 0.49612 : 0.000269874
-0.761198 : 0.495257 : 0.494987 : 0.000270234
-0.760198 : 0.494125 : 0.493855 : 0.000270527
-0.759198 : 0.492994 : 0.492723 : 0.000270751
-0.758198 : 0.491863 : 0.491592 : 0.000270909
-0.757198 : 0.490733 : 0.490462 : 0.000271001
-0.756198 : 0.489604 : 0.489333 : 0.000271027
-0.755198 : 0.488476 : 0.488205 : 0.000270989
-0.754198 : 0.487349 : 0.487078 : 0.000270886
-0.753198 : 0.486222 : 0.485952 : 0.00027072
-0.752198 : 0.485097 : 0.484826 : 0.000270491
-0.751198 : 0.483972 : 0.483702 : 0.0002702
-0.750198 : 0.482848 : 0.482578 : 0.000269848
-0.749198 : 0.481725 : 0.481455 : 0.000269434
-0.748198 : 0.480602 : 0.480333 : 0.000268961
-0.747198 : 0.47948 : 0.479212 : 0.000268428
-0.746198 : 0.47836 : 0.478092 : 0.000267837
-0.745198 : 0.47724 : 0.476973 : 0.000267187
-0.744198 : 0.476121 : 0.475854 : 0.00026648
-0.743198 : 0.475002 : 0.474737 : 0.000265717
-0.742198 : 0.473885 : 0.47362 : 0.000264898
-0.741198 : 0.472768 : 0.472504 : 0.000264023
-0.740198 : 0.471652 : 0.471389 : 0.000263094
-0.739198 : 0.470537 : 0.470275 : 0.000262111
-0.738198 : 0.469423 : 0.469162 : 0.000261075
-0.737198 : 0.46831 : 0.46805 : 0.000259987
-0.736198 : 0.467197 : 0.466939 : 0.000258847
-0.735198 : 0.466086 : 0.465828 : 0.000257656
-0.734198 : 0.464975 : 0.464719 : 0.000256414
-0.733198 : 0.463865 : 0.46361 : 0.000255124
-0.732198 : 0.462756 : 0.462249 : 0.000506671
-0.731198 : 0.461648 : 0.46115 : 0.00049805
-0.730198 : 0.46054 : 0.460051 : 0.000489521
-0.729198 : 0.459434 : 0.458953 : 0.000481083
-0.728198 : 0.458328 : 0.457855 : 0.000472736
-0.727198 : 0.457223 : 0.456759 : 0.000464479
